Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1366100,0.001701,219.047597,122.463662,1.5e-05,0.001085
PF3D7-1366200,0.001666,163.375643,93.134586,1.8e-05,0.00106
PF3D7-1366300,0.000391,18.078917,21.151673,1.9e-05,0.000181
PF3D7-1366400,0.000449,124.278753,90.841633,5e-06,0.000251
PF3D7-1366500,0.00068,131.17754,53.081488,1.3e-05,0.000484
PF3D7-1366600,0.000813,113.878525,79.957577,1e-05,0.000471
PF3D7-1366700,0.000517,180.157006,52.407402,1e-05,0.000397
PF3D7-1366800,0.000675,217.034774,81.229347,9e-06,0.000489
PF3D7-1366900,0.001176,17.02599,19.584175,6.1e-05,0.000547
PF3D7-1367000,0.000772,194.955507,60.097199,1.3e-05,0.000586
PF3D7-1367100,0.000974,115.948629,101.990975,1e-05,0.000521
PF3D7-1367200,0.001506,146.373456,87.708772,1.7e-05,0.000936
PF3D7-1367300,0.0014,175.769738,59.652293,2.4e-05,0.001035
PF3D7-1367400,0.000473,148.468283,107.626296,4e-06,0.000272
PF3D7-1367500,0.001314,91.699607,64.215673,2.1e-05,0.000773
PF3D7-1367600,0.000997,176.765479,68.002131,1.5e-05,0.000719
PF3D7-1367700,0.000434,120.084605,67.431763,7e-06,0.000276
PF3D7-1367800,0.000567,136.928585,128.822212,4e-06,0.000291
PF3D7-1367900,0.000756,203.363463,81.079915,1e-05,0.000538
PF3D7-1368000,0.00286,168.441461,145.192104,2e-05,0.001537
PF3D7-1368100,0.001563,104.048458,43.622854,3.6e-05,0.001095
PF3D7-1368200,0.000423,192.327068,77.335351,5e-06,0.000294
PF3D7-1368300,0.001963,171.262825,77.945767,2.5e-05,0.001331
PF3D7-1368400,0.001072,137.948981,68.397913,1.6e-05,0.000716
PF3D7-1368500,0.000541,224.681987,92.233637,6e-06,0.000383
PF3D7-1368600,0.001145,184.80968,94.938446,1.3e-05,0.000758
PF3D7-1368700,0.001278,133.632753,164.343977,8e-06,0.000573
PF3D7-1368800,0.000469,76.640741,60.621457,8e-06,0.00026
PF3D7-1368900,0.000456,179.70223,75.040741,6e-06,0.000321
PF3D7-1369000,0.000601,140.874789,85.762953,7e-06,0.000374
PF3D7-1369100,0.001081,129.223468,179.556307,6e-06,0.000452
PF3D7-1369200,0.000382,80.524089,54.009711,7e-06,0.000228
PF3D7-1369300,0.000582,152.71242,61.317996,1e-05,0.000415
PF3D7-1369400,0.000243,120.02635,76.955905,3e-06,0.000146
PF3D7-1369500,0.00041,174.236192,88.562506,5e-06,0.000271
PF3D7-1369600,0.000615,131.12604,50.013284,1.2e-05,0.000442
PF3D7-1369700,0.001318,118.873953,81.902608,1.6e-05,0.000771
PF3D7-1369800,0.021774,208.353888,117.611144,0.000188,0.013915
PF3D7-1369900,0.020264,170.172482,70.84238,0.000289,0.014301
PF3D7-1370000,0.024082,111.835785,82.211711,0.000303,0.013911
PF3D7-1370100,0.022431,185.385698,104.815509,0.000218,0.014302
PF3D7-1370200,0.023903,127.630444,82.065171,0.000292,0.0145
PF3D7-1370300,0.000777,120.292435,58.865297,1.3e-05,0.000519
PF3D7-1370500,0.002302,129.833761,48.549211,4.8e-05,0.001674
PF3D7-1370800,0.001514,207.578237,104.259927,1.5e-05,0.001004
PF3D7-1370900,0.002941,111.679668,77.570608,3.8e-05,0.001724
PF3D7-1371000,0.000817,171.579096,121.218764,7e-06,0.000479
PF3D7-1371200,0.008724,216.540432,75.952144,0.000115,0.006435
PF3D7-1371300,0.000318,146.07867,43.150781,8e-06,0.000244
PF3D7-1371500,0.000868,102.199786,39.986341,2.2e-05,0.000624
PF3D7-1371600,0.000229,193.954212,151.816455,2e-06,0.000127
PF3D7-1371700,0.000694,97.324794,42.422876,1.7e-05,0.000482
PF3D7-1371800,0.000806,152.506106,138.125171,6e-06,0.000422
PF3D7-1371900,0.001427,121.994223,66.174774,2.2e-05,0.000921
PF3D7-1372000,0.000645,180.511689,116.876585,6e-06,0.000389
PF3D7-1372100,0.000421,147.470524,67.721416,6e-06,0.000288
PF3D7-1372200,0.00083,109.899308,68.350255,1.2e-05,0.00051
PF3D7-1372300,0.000402,156.530247,94.809448,4e-06,0.000249
PF3D7-1372400,0.00059,198.576486,121.78263,5e-06,0.000364
PF3D7-1372500,0.001567,271.636815,102.177529,1.6e-05,0.001136
PF3D7-1372600,0.002661,110.252319,121.549282,2.2e-05,0.001259
PF3D7-1372700,0.001533,166.210958,92.656541,1.7e-05,0.000984
PF3D7-1372800,0.001657,168.330392,75.533263,2.2e-05,0.00114
PF3D7-1372900,0.000999,192.219454,55.909307,1.8e-05,0.000773
PF3D7-1373000,0.001359,113.36348,37.097989,3.7e-05,0.001019
PF3D7-1373100,0.001437,137.56846,59.040797,2.4e-05,0.001003
PF3D7-1373200,0.008678,96.73549,77.362181,0.000116,0.004835
PF3D7-1373300,0.002115,153.618259,184.311994,1.2e-05,0.000966
PF3D7-1373400,0.00154,148.643508,102.118343,1.5e-05,0.00091
PF3D7-1373500,0.000286,131.458853,82.582431,4e-06,0.000173
PF3D7-1400100,0.00048,201.750892,73.431539,7e-06,0.000351
PF3D7-1400200,0.001545,210.544021,132.657965,1.2e-05,0.000943
PF3D7-1400300,0.001391,214.908363,83.28887,1.7e-05,0.001001
PF3D7-1400400,0.001506,170.515117,83.912452,1.9e-05,0.001015
PF3D7-1400500,0.001441,197.919712,84.816368,1.7e-05,0.00101
PF3D7-1400600,0.00154,145.392792,92.25531,1.7e-05,0.000933
PF3D7-1400700,0.002368,144.917564,148.377118,1.6e-05,0.001168
PF3D7-1400800,0.001516,106.754198,42.801965,3.6e-05,0.001083
PF3D7-1400900,0.001969,148.276392,88.335844,2.2e-05,0.001234
PF3D7-1401000,0.001936,132.480864,97.334881,2.1e-05,0.001119
PF3D7-1401050,0.001233,170.67301,105.725143,1.2e-05,0.000759
PF3D7-1401100,0.000516,168.719128,99.381437,5e-06,0.000318
PF3D7-1401200,0.000834,150.081118,79.792402,1e-05,0.000541
PF3D7-1401300,0.000679,161.245176,77.219503,9e-06,0.000458
PF3D7-1401400,0.003565,4.867794,6.483595,0.000552,0.001529
PF3D7-1401500,0.000561,130.534477,53.837637,1.1e-05,0.000396
PF3D7-1401600,0.012664,0.725585,2.251113,0.005631,0.003088
PF3D7-1401700,0.002088,139.139644,79.779462,2.6e-05,0.001302
PF3D7-1401800,0.000516,162.173499,74.748804,7e-06,0.00035
PF3D7-1401900,0.003543,3.541735,5.032196,0.000706,0.001464
PF3D7-1402000,0.000877,125.150342,81.313428,1.1e-05,0.000529
PF3D7-1402100,0.000528,150.48926,83.496159,6e-06,0.000337
PF3D7-1402200,0.002191,85.678038,65.151138,3.4e-05,0.00124
PF3D7-1402300,0.000629,173.102525,88.197041,7e-06,0.000415
PF3D7-1402400,0.001147,97.833129,58.931596,2e-05,0.00071
PF3D7-1402500,0.001724,38.379486,41.797274,4.4e-05,0.00083
PF3D7-1402600,0.016529,201.489422,63.357892,0.000265,0.012403
PF3D7-1402550,0.017947,141.023315,69.776806,0.000262,0.011973
PF3D7-1402700,0.000747,127.894343,103.843676,7e-06,0.000412
PF3D7-1402800,0.001724,4.805331,6.101007,0.000284,0.00076
PF3D7-1402900,0.000872,114.235188,102.00397,9e-06,0.000461
PF3D7-1403000,0.001056,145.695037,66.67481,1.6e-05,0.000724
PF3D7-1403100,0.00084,13.57015,15.587791,5.4e-05,0.000391
PF3D7-1403200,0.001204,110.210158,44.40624,2.7e-05,0.000852
PF3D7-1403300,0.000449,130.211325,57.949988,8e-06,0.00031
PF3D7-1403400,0.001448,75.110527,53.745979,2.7e-05,0.000825
PF3D7-1403500,0.002202,148.446224,116.380922,1.9e-05,0.001235
PF3D7-1403600,0.001574,224.272179,103.146169,1.5e-05,0.001071
PF3D7-1403700,0.000798,152.809775,110.013803,7e-06,0.000463
PF3D7-1403800,0.000403,108.277606,50.387347,8e-06,0.000275
PF3D7-1403900,0.000847,229.813087,117.509999,7e-06,0.000561
PF3D7-1404000,0.003192,136.248387,87.234634,3.9e-05,0.001945
PF3D7-1404100,0.001078,111.573798,46.733485,2.3e-05,0.000747
PF3D7-1404200,0.001369,143.673526,77.75061,1.9e-05,0.000891
PF3D7-1404300,0.002852,164.305428,106.958357,2.7e-05,0.001712
PF3D7-1404400,0.001466,172.115699,137.432411,1.1e-05,0.000806
PF3D7-1404500,0.000707,227.652199,69.221453,1e-05,0.000542
PF3D7-1404600.1,0.000581,186.09088,105.198477,6e-06,0.00037
PF3D7-1404600.3,0.000682,213.206899,127.175182,5e-06,0.000427
PF3D7-1404600.2,0.00105,111.909263,117.740517,9e-06,0.000512
PF3D7-1404700,0.001015,145.610669,75.045527,1.4e-05,0.000663
PF3D7-1404800,0.000345,215.655197,63.901845,5e-06,0.000264
PF3D7-1404900,0.001056,57.118524,40.144515,2.7e-05,0.000616
PF3D7-1405000,0.000756,106.448574,69.482819,1.1e-05,0.000458
PF3D7-1405100,0.000967,65.777711,72.537895,1.3e-05,0.000454
PF3D7-1405200,0.001592,145.772516,97.177985,1.6e-05,0.000953
PF3D7-1405300,0.000675,85.211416,53.291935,1.3e-05,0.000415
PF3D7-1405400,0.000361,163.264268,101.301879,4e-06,0.000223
PF3D7-1405500,0.000834,108.25183,77.868896,1.1e-05,0.000485
PF3D7-1405600,0.001325,123.104414,87.247771,1.5e-05,0.000775
PF3D7-1405700,0.001296,11.840781,14.150302,9.3e-05,0.00059
PF3D7-1405800,0.000563,120.079388,78.799228,7e-06,0.000337
PF3D7-1405900,0.000441,129.754573,59.523027,8e-06,0.000302
PF3D7-1406000,0.003136,137.456251,165.180966,2e-05,0.001428
PF3D7-1406100,0.0006,98.799689,58.511698,1e-05,0.000376
PF3D7-1406200,0.000585,12.731038,14.841786,4e-05,0.00027
PF3D7-1406300,0.000818,118.696646,57.205627,1.4e-05,0.000546
PF3D7-1406400,0.001085,196.035423,135.322868,8e-06,0.000642
PF3D7-1406500,0.000369,117.861391,58.772009,6e-06,0.000239
PF3D7-1406600,0.001183,5.134504,6.620154,0.000179,0.000517
PF3D7-1406700,0.00105,145.121731,86.039146,1.2e-05,0.000654
PF3D7-1406800,0.000906,195.328728,173.343697,5e-06,0.00047
PF3D7-1406900,0.000875,145.252374,70.743044,1.3e-05,0.000583
PF3D7-1407000,0.000535,159.947993,136.236251,4e-06,0.000288
PF3D7-1407100,0.000706,184.849761,73.710545,1e-05,0.000503
PF3D7-1407200,0.001102,120.964605,97.213411,1.2e-05,0.000612
PF3D7-1407300,0.000585,118.345132,45.511771,1.3e-05,0.00042
PF3D7-1407400,0.000843,150.85353,62.343638,1.4e-05,0.000596
PF3D7-1407500,0.001316,186.625241,133.682633,1e-05,0.000764
PF3D7-1407600,0.00025,131.943153,48.532252,5e-06,0.000182
PF3D7-1407700,0.001064,297.956624,74.601287,1.5e-05,0.000849
PF3D7-1407800,0.000521,119.690264,79.5062,7e-06,0.00031
PF3D7-1407900,0.000403,213.480343,111.950187,4e-06,0.000264
PF3D7-1408000,0.00073,129.186159,124.196079,6e-06,0.000372
PF3D7-1408100,0.00076,136.998892,82.421338,9e-06,0.000474
PF3D7-1408200,0.000351,139.329396,77.805561,5e-06,0.000224
PF3D7-1408300,0.00397,125.990193,89.840066,4.5e-05,0.002314
PF3D7-1408400,0.00058,91.189066,54.992161,1.1e-05,0.000359
PF3D7-1408500,0.001154,120.537113,80.296935,1.5e-05,0.000693
PF3D7-1408600,0.002873,38.052036,45.074995,6.7e-05,0.001316
PF3D7-1408700,0.001271,0.97247,2.362896,0.000538,0.000371
PF3D7-1408800,0.000816,134.672734,63.191955,1.3e-05,0.000555
PF3D7-1408900,0.000965,213.732363,131.085206,8e-06,0.000598
PF3D7-1409000,0.000513,142.256307,64.03259,8e-06,0.000354
PF3D7-1409100,0.000765,26.385944,29.361646,2.7e-05,0.000363
PF3D7-1409200.1,0.000722,159.763901,51.576324,1.4e-05,0.000545
PF3D7-1409200.2,0.00243,144.544511,45.219911,5.4e-05,0.00185
PF3D7-1409300,0.005057,4.692849,5.796284,0.000875,0.002263
PF3D7-1409400,0.003971,4.779462,6.230304,0.00064,0.001724
PF3D7-1409500,0.000823,89.912057,107.444799,8e-06,0.000374
PF3D7-1409600,0.00154,117.442972,148.105599,1e-05,0.000681
PF3D7-1409700,0.000476,175.954692,76.648138,6e-06,0.000328
PF3D7-1409800,0.000392,121.291514,55.61672,7e-06,0.000268
PF3D7-1409900,0.000613,103.846598,81.853781,8e-06,0.00034
PF3D7-1410000,0.000952,167.827914,64.853242,1.5e-05,0.000681
PF3D7-1410100,0.00096,168.506978,81.87497,1.2e-05,0.000645
PF3D7-1410200,0.000356,145.601527,58.575975,6e-06,0.000254
PF3D7-1410300,0.000663,2.859141,4.209036,0.000158,0.000268
PF3D7-1410400,0.050402,0.693228,3.038133,0.016604,0.009366
PF3D7-1410500,0.001136,234.669259,81.399198,1.4e-05,0.000843
PF3D7-1410600,0.000738,120.507631,133.333968,6e-06,0.00035
PF3D7-1410700,0.001585,75.750261,82.066677,2e-05,0.000759
PF3D7-1410800,0.001288,130.55689,81.454181,1.6e-05,0.000791
PF3D7-1410900,0.000888,107.559166,62.367878,1.4e-05,0.000561
PF3D7-1411000.1,0.000215,130.816236,45.310627,5e-06,0.000159
PF3D7-1411000.2,0.000311,162.853707,135.858779,2e-06,0.000169
PF3D7-1411100,0.000454,165.374156,79.565513,6e-06,0.000306
PF3D7-1411200,0.001875,3.536452,4.88332,0.000385,0.000788
PF3D7-1411300,0.000605,213.626958,74.647931,9e-06,0.000449
PF3D7-1411400,0.000249,175.979263,77.094926,3e-06,0.000173
PF3D7-1411500,0.000497,164.816274,96.095454,5e-06,0.000314
PF3D7-1411600,0.000951,164.181285,136.396326,7e-06,0.000519
PF3D7-1411700,0.001142,138.90343,191.290507,6e-06,0.00048
PF3D7-1411800,0.000748,142.542105,107.405757,7e-06,0.000426
PF3D7-1411900,0.00081,166.631061,114.65393,7e-06,0.000477
PF3D7-1412000,0.001403,129.222531,58.751395,2.4e-05,0.000946
PF3D7-1412100,0.001119,62.74777,56.140679,2e-05,0.000587
PF3D7-1412200,0.000568,149.868381,48.44468,1.2e-05,0.000429
PF3D7-1412300,0.005474,4.637813,5.962677,0.000921,0.002395
PF3D7-1412400,0.00062,4.393518,5.834945,0.000107,0.000266
PF3D7-1412500,0.000629,298.278539,100.516433,6e-06,0.00047
PF3D7-1412600,0.000693,144.359268,44.392478,1.6e-05,0.00053
PF3D7-1412700,0.000328,117.28253,66.3705,5e-06,0.000209
PF3D7-1412800,0.000487,203.880839,58.700426,8e-06,0.000377
PF3D7-1412900.1,0.00047,117.24868,85.493586,6e-06,0.000272
PF3D7-1412900.2,0.004472,326.428162,59.552603,7.6e-05,0.003731
PF3D7-1413000,0.001153,141.082476,81.367516,1.4e-05,0.00073
PF3D7-1413100,0.000929,136.852045,74.039794,1.3e-05,0.000601
PF3D7-1413200,0.000787,214.951807,102.425761,8e-06,0.000529
PF3D7-1413300,0.003717,117.895476,107.777233,3.5e-05,0.001939
PF3D7-1413400,0.001023,80.941016,47.012823,2.2e-05,0.000648
PF3D7-1413500,0.001132,147.452938,101.778642,1.1e-05,0.000669
PF3D7-1413600,0.001077,167.034595,79.576314,1.4e-05,0.000727
PF3D7-1413700,0.001363,3.975677,5.664338,0.000241,0.000562
PF3D7-1413800,0.000647,130.81817,72.333535,9e-06,0.000414
PF3D7-1413900,0.000632,136.893117,61.517784,1e-05,0.000433
PF3D7-1414000,0.001588,116.060037,75.524763,2.1e-05,0.00096
PF3D7-1414100,0.000379,141.71601,104.281069,4e-06,0.000219
PF3D7-1414200,0.001392,25.529874,29.068764,5.2e-05,0.000653
PF3D7-1414300,0.002883,51.527891,53.296249,5.5e-05,0.001414
PF3D7-1414400,0.001103,150.150006,59.512314,1.9e-05,0.000788
PF3D7-1414500,0.002022,1.341684,2.596937,0.000779,0.000689
PF3D7-1414600,0.001354,100.27198,55.343942,2.5e-05,0.000869
PF3D7-1414700,0.000296,187.569159,60.02755,5e-06,0.000224
PF3D7-1414800,0.001055,177.03709,110.652262,1e-05,0.000648
PF3D7-1414900,0.000437,147.832763,64.162386,7e-06,0.000301
PF3D7-1415000,0.001588,141.820459,74.561966,2.2e-05,0.001036
PF3D7-1415100,0.001544,12.482291,14.756659,0.000106,0.000707
PF3D7-1415200,0.00122,162.740251,58.560054,2.1e-05,0.000898
PF3D7-1415300,0.000659,96.344188,49.680869,1.3e-05,0.000434
PF3D7-1415400,0.000293,106.7101,37.274139,8e-06,0.000217
PF3D7-1415500,0.000425,179.227806,104.514535,4e-06,0.000268
PF3D7-1415600,0.000494,140.098564,80.849489,6e-06,0.000311
PF3D7-1415700,0.000644,171.17321,104.406874,6e-06,0.0004
PF3D7-1415800,0.000655,156.151573,68.697446,1e-05,0.000455
PF3D7-1415900,0.001204,125.968265,41.68644,2.9e-05,0.0009
PF3D7-1416000,0.002267,138.959053,63.456914,3.6e-05,0.001555
PF3D7-1416100,0.001197,64.420933,75.918884,1.6e-05,0.000547
PF3D7-1416200,0.000787,5.926731,7.349205,0.000107,0.000351
