Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1417100,0.000678,140.558167,75.077294,9e-06,0.000437
PF3D7-1417200,0.001167,1.855187,2.663526,0.00044,0.000479
PF3D7-1417300,0.000369,138.305697,76.508387,5e-06,0.000234
PF3D7-1417400,0.000161,232.064303,151.223289,1e-06,9.6e-05
PF3D7-1417500,0.000818,260.916099,134.778608,6e-06,0.000536
PF3D7-1417600,0.001032,2.233013,3.51369,0.000295,0.000401
PF3D7-1417700,0.00067,153.929577,70.455053,1e-05,0.000452
PF3D7-1417800,0.000423,118.336953,60.891545,7e-06,0.000274
PF3D7-1417900,0.001885,132.689691,182.100583,1e-05,0.000793
PF3D7-1418000,0.000901,86.564798,40.76996,2.4e-05,0.00059
PF3D7-1418100,0.000122,249.035024,66.688386,2e-06,9.6e-05
PF3D7-1418200,0.002252,85.609869,70.736133,3.3e-05,0.00121
PF3D7-1418300,0.001942,150.39308,66.959257,3.1e-05,0.001277
PF3D7-1418400,0.021525,159.328454,76.560966,0.000283,0.014278
PF3D7-1418800,0.00781,72.99325,69.049523,0.000127,0.004055
PF3D7-1418900,0.001585,60.467669,74.670241,2.3e-05,0.000711
PF3D7-1419000,0.000558,134.50363,189.098663,3e-06,0.000234
PF3D7-1419100,0.001335,9.172083,11.069965,0.000124,0.000605
PF3D7-1419200,0.000549,158.47584,83.458459,7e-06,0.000359
PF3D7-1419300,0.000587,86.491816,37.764225,1.7e-05,0.000406
PF3D7-1419400,0.001075,5.949652,7.374305,0.000148,0.00048
PF3D7-1419500,0.001458,161.054822,83.753568,1.8e-05,0.000943
PF3D7-1419600,0.001264,134.139488,43.452999,3e-05,0.000917
PF3D7-1419700,0.002304,42.90033,52.833151,4.5e-05,0.001029
PF3D7-1419800.1,0.000613,115.530906,58.576772,1.1e-05,0.000405
PF3D7-1419800.2,0.000863,150.827218,53.991115,1.6e-05,0.000624
PF3D7-1419900,0.000857,154.747989,57.104569,1.6e-05,0.000618
PF3D7-1420000,0.000902,152.521603,87.446669,1.2e-05,0.000568
PF3D7-1420100,0.000439,109.146398,139.703578,3e-06,0.000192
PF3D7-1420200,0.000581,107.773012,115.664998,5e-06,0.000279
PF3D7-1420300,0.001292,108.918743,53.29298,2.5e-05,0.000861
PF3D7-1420400,0.000921,68.444231,52.236203,1.8e-05,0.000516
PF3D7-1420500,0.000353,255.567898,44.092357,8e-06,0.0003
PF3D7-1420600,0.000634,174.49986,47.444249,1.4e-05,0.000487
PF3D7-1420700,0.017398,1.05309,3.909649,0.004465,0.003695
PF3D7-1420800,0.001926,122.634061,54.159911,3.7e-05,0.001325
