Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-0204200,0.003152,191.846822,82.090949,3.9e-05,0.002186
PF3D7-0204300,0.001042,163.271226,156.919263,7e-06,0.000531
PF3D7-0204400,0.003517,157.738128,43.803583,8e-05,0.002736
PF3D7-0204500,0.003536,107.648397,141.852409,2.5e-05,0.001527
PF3D7-0204600,0.000508,192.676958,97.447425,5e-06,0.000337
PF3D7-0204700,0.000757,149.377687,66.523685,1.2e-05,0.000524
PF3D7-0204800,0.001164,163.518765,62.680006,1.9e-05,0.000841
PF3D7-0204900,0.00181,172.877475,111.877762,1.7e-05,0.001094
PF3D7-0205000,0.000896,148.45739,88.314045,1e-05,0.000557
PF3D7-0205100,0.00067,126.547431,62.123,1.1e-05,0.000449
PF3D7-0205200,0.003317,147.233336,128.585757,2.6e-05,0.001763
PF3D7-0205300,0.000917,161.595929,91.355546,1e-05,0.000583
PF3D7-0205400,0.001335,172.2978,177.419223,8e-06,0.000659
PF3D7-0205500,0.001644,151.210399,67.184997,2.5e-05,0.001137
PF3D7-0205600,0.000684,162.825166,58.904023,1.2e-05,0.000503
PF3D7-0205700.1,0.002999,120.06598,82.979304,3.7e-05,0.001778
PF3D7-0205700.2,0.002176,166.76803,64.680077,3.4e-05,0.001564
PF3D7-0205800,0.002838,135.330773,81.521626,3.5e-05,0.001741
PF3D7-0205900,0.001777,19.089578,21.529581,8.4e-05,0.000836
PF3D7-0206000,0.000543,137.443053,88.538047,6e-06,0.000331
PF3D7-0206100,0.000708,132.230848,94.343203,8e-06,0.000413
PF3D7-0206200,0.000669,183.95312,103.357251,7e-06,0.000428
PF3D7-0206300,0.000184,136.595403,84.200755,2e-06,0.000113
PF3D7-0206500,0.000533,133.294209,60.174074,9e-06,0.000367
PF3D7-0206600,0.000717,152.87913,74.711547,1e-05,0.000479
PF3D7-0206700,0.000831,177.152385,136.031671,6e-06,0.00047
PF3D7-0206800,0.000875,54.602938,56.983969,1.7e-05,0.000432
PF3D7-0206900.1,0.000894,160.308573,60.876885,1.5e-05,0.000646
PF3D7-0206900.2,0.001053,211.572211,111.229705,1e-05,0.000687
PF3D7-0207000,0.003686,6.268174,7.737119,0.000479,0.00165
PF3D7-0207100,0.001353,7.398165,8.827739,0.000154,0.000617
PF3D7-0207200,0.001292,156.545517,102.659491,1.3e-05,0.000781
PF3D7-0207300,0.000757,134.571748,64.981407,1.2e-05,0.00051
PF3D7-0207400,0.002456,2.756902,4.08112,0.000603,0.00099
PF3D7-0207500,0.002723,2.074041,3.324284,0.00082,0.001046
PF3D7-0207600,0.043791,0.449223,4.561547,0.00961,0.003928
PF3D7-0207700,0.001458,7.162328,9.182384,0.00016,0.000639
PF3D7-0207800,0.001094,18.918319,21.535106,5.1e-05,0.000512
PF3D7-0207900,0.000408,193.008347,50.758493,8e-06,0.000321
PF3D7-0208000,0.00052,188.712317,76.79417,7e-06,0.000368
PF3D7-0208100,0.000275,167.342854,103.371011,3e-06,0.00017
PF3D7-0208200,0.00193,97.592668,46.341158,4.2e-05,0.001298
PF3D7-0208300,0.00036,149.57839,83.400986,4e-06,0.000228
PF3D7-0208400,0.000892,8.788468,10.498974,8.6e-05,0.000406
PF3D7-0208500,0.001226,153.625798,130.439803,9e-06,0.000661
PF3D7-0208600,0.00315,21.461244,23.933186,0.000133,0.001489
PF3D7-0208700,0.001425,165.563509,60.569965,2.4e-05,0.001043
PF3D7-0208800,0.001428,123.08016,112.216769,1.3e-05,0.000747
PF3D7-0208900,0.000213,121.992549,53.599883,4e-06,0.000148
PF3D7-0209000,0.000176,171.718413,132.563696,1e-06,9.9e-05
PF3D7-0209100,0.00087,130.815723,75.200235,1.2e-05,0.000547
PF3D7-0209200,0.001757,183.826417,176.642498,1e-05,0.000894
PF3D7-0209300,0.003336,97.507421,92.21992,3.7e-05,0.001714
PF3D7-0209400,0.001307,154.984296,120.47529,1.1e-05,0.000733
PF3D7-0209500,0.001039,158.238789,97.874065,1.1e-05,0.00064
PF3D7-0209600,0.000511,131.910955,72.654227,7e-06,0.000327
PF3D7-0209700,0.001376,157.291352,112.002013,1.3e-05,0.000799
PF3D7-0209800,0.002317,22.401869,25.605701,9.1e-05,0.00108
PF3D7-0209900,0.002524,184.750784,56.097812,4.5e-05,0.001925
PF3D7-0210000,0.001618,174.805228,65.076434,2.5e-05,0.001177
PF3D7-0210100.1,0.00791,6.239701,7.555199,0.001051,0.003578
PF3D7-0210100.2,0.015182,129.052894,73.697925,0.000207,0.009641
PF3D7-0210200,0.001298,5.314947,6.621558,0.000197,0.000578
PF3D7-0210300,0.000692,146.573539,69.627008,1e-05,0.000467
PF3D7-0210400,0.002141,168.25646,105.691019,2e-05,0.001303
PF3D7-0210500,0.00066,123.197492,81.045036,8e-06,0.000398
PF3D7-0210600,0.000894,154.727261,61.457554,1.5e-05,0.000638
PF3D7-0210700,0.001596,141.174111,109.86644,1.5e-05,0.000901
PF3D7-0210800,0.000765,130.679651,68.770003,1.1e-05,0.000501
PF3D7-0210900,0.002145,59.002402,44.181622,5e-05,0.001225
PF3D7-0211000,0.001925,185.931959,85.691691,2.3e-05,0.001321
PF3D7-0211100,0.00053,166.519085,122.630904,4e-06,0.000305
PF3D7-0211200,0.002088,115.339202,63.811052,3.4e-05,0.001341
PF3D7-0211300,0.001361,181.695655,67.535962,2e-05,0.000991
PF3D7-0211400,0.001118,143.562212,65.558048,1.7e-05,0.000764
PF3D7-0211500,0.00044,166.356312,63.314765,7e-06,0.000316
PF3D7-0211600,0.002023,166.409779,64.640822,3.1e-05,0.001454
PF3D7-0211700,0.000789,65.40893,37.724991,2.1e-05,0.0005
PF3D7-0211800,0.002516,26.243099,28.574158,8.9e-05,0.001204
PF3D7-0211900,0.001575,83.55513,41.955679,3.8e-05,0.001042
PF3D7-0212000,0.001911,115.507835,82.609259,2.3e-05,0.001114
PF3D7-0212100,0.001017,14.179412,16.390275,6.3e-05,0.000472
PF3D7-0212200,0.001131,145.877078,55.276668,2.1e-05,0.000819
PF3D7-0212300,0.001541,58.592251,56.855208,2.7e-05,0.000781
PF3D7-0212400,0.000797,6.442876,7.898157,0.000101,0.000358
PF3D7-0212500,0.001223,4.234399,5.452755,0.000225,0.000534
PF3D7-0212600,0.00094,212.64163,81.299842,1.2e-05,0.00068
PF3D7-0212700,0.000981,176.049008,63.877804,1.5e-05,0.000719
PF3D7-0212800,0.000381,121.702436,65.879619,6e-06,0.000247
PF3D7-0212900,0.001071,126.679671,66.350816,1.6e-05,0.000692
PF3D7-0213000,0.001173,161.87801,94.051939,1.2e-05,0.000735
PF3D7-0213100,0.001597,88.032275,41.959986,3.9e-05,0.001081
PF3D7-0213200,0.001753,222.318927,61.207103,3e-05,0.001375
PF3D7-0213400,0.000877,119.718416,67.649932,1.3e-05,0.00056
PF3D7-0213300,0.002721,176.797115,87.814676,3.1e-05,0.001809
PF3D7-0213500,0.001469,143.634675,136.797197,1.1e-05,0.00075
PF3D7-0213600,0.000306,150.918267,106.677862,3e-06,0.000179
PF3D7-0213700,0.001466,122.715133,66.713385,2.3e-05,0.000951
PF3D7-0213800,0.000814,126.943752,62.556128,1.3e-05,0.000544
PF3D7-0213900,0.000547,148.617884,102.295514,5e-06,0.000324
PF3D7-0214000,0.001539,111.493836,99.80127,1.6e-05,0.000817
PF3D7-0214100,0.001495,15.104709,17.140226,8.9e-05,0.000701
PF3D7-0214200,0.001334,144.909474,49.894624,2.7e-05,0.00099
PF3D7-0214300,0.000178,209.30327,74.429122,2e-06,0.00013
PF3D7-0214400,0.001299,118.180258,103.319644,1.3e-05,0.000692
PF3D7-0214500,0.001135,186.739066,100.941784,1.1e-05,0.000736
PF3D7-0214600,0.000269,161.969817,96.212139,3e-06,0.000168
PF3D7-0214700,0.001159,198.715083,95.070968,1.2e-05,0.000783
PF3D7-0214800,0.000546,127.945325,159.250401,3e-06,0.000243
PF3D7-0214900,0.000456,137.985834,111.335581,4e-06,0.000253
PF3D7-0215000,0.000596,85.908254,59.777476,1e-05,0.00035
PF3D7-0215100,0.000757,249.326642,84.536896,9e-06,0.000564
PF3D7-0215200,0.000563,164.036424,61.260313,9e-06,0.000408
PF3D7-0215300,0.000387,127.348245,80.424404,5e-06,0.000236
